category,time,name,lat,lon,wind
past,2026-09-15 20:00,,14.9,148.9,46
past,2026-09-16 02:00,,14.8,148.8,56
past,2026-09-16 08:00,,15.0,148.7,56
past,2026-09-16 14:00,,15.4,148.9,56
past,2026-09-16 20:00,,16.5,149.5,65
past,2026-09-17 02:00,,17.6,149.7,74
past,2026-09-17 08:00,,19.0,150.4,93
past,2026-09-17 14:00,,21.9,150.4,93
past,2026-09-17 20:00,,22.8,148.6,102
past,2026-09-18 02:00,,25.2,146.0,120
past,2026-09-18 08:00,,25.1,144.5,120
past,2026-09-18 14:00,,25.9,142.9,111
past,2026-09-18 20:00,,25.4,141.7,111
past,2026-09-19 02:00,,26.4,140.7,120
past,2026-09-19 08:00,,26.2,139.7,120
past,2026-09-19 14:00,,27.0,139.1,120
current,2026-09-19 20:00,杜鵑(2625),27.8,138.2,120
24H,2026-09-20 20:00,,30.6,137.3,120
48H,2026-09-21 20:00,,34.8,140.8,130
72H,2026-09-22 20:00,,39.9,151.6,130
96H,2026-09-23 20:00,,44.1,166.7,93
