category,time,name,lat,lon,wind
past,2026-09-21 02:00,Polo,14.5,-105.1,56
past,2026-09-21 08:00,Polo,15.1,-104.8,65
past,2026-09-21 14:00,Polo,15.5,-104.0,74
past,2026-09-21 20:00,Polo,15.5,-103.6,93
past,2026-09-22 02:00,Polo,15.2,-103.0,130
past,2026-09-22 08:00,Polo,15.1,-102.5,167
past,2026-09-22 14:00,Polo,14.7,-102.0,222
past,2026-09-22 20:00,Polo,14.7,-101.6,259
past,2026-09-23 02:00,Polo,14.6,-101.5,287
past,2026-09-23 08:00,Polo,14.6,-101.4,269
past,2026-09-23 14:00,Polo,14.8,-101.3,259
past,2026-09-23 20:00,Polo,15.2,-101.5,241
past,2026-09-24 02:00,Polo,15.5,-102.1,232
past,2026-09-24 08:00,Polo,15.8,-102.3,259
past,2026-09-24 14:00,Polo,16.4,-103.0,259
past,2026-09-24 20:00,Polo,16.7,-103.9,250
past,2026-09-25 02:00,Polo,16.9,-104.9,241
past,2026-09-25 08:00,Polo,17.1,-106.1,241
current,2026-09-25 14:00,Polo,17.1,-107.0,250
forecast,2026-09-25 20:00,Polo,17.1,-108.0,287
forecast,2026-09-26 02:00,Polo,17.3,-108.9,259
forecast,2026-09-26 14:00,Polo,17.6,-110.7,241
forecast,2026-09-27 02:00,Polo,18.5,-112.2,222
forecast,2026-09-27 14:00,Polo,20.0,-113.2,204
forecast,2026-09-28 14:00,Polo,23.3,-113.5,176
forecast,2026-09-29 14:00,Polo,26.4,-111.2,148
forecast,2026-09-30 14:00,Polo,29.0,-107.5,56

