category,time,name,lat,lon,wind
past,2026-09-19 00:00,,15.0,151.0,25
past,2026-09-19 06:00,,15.3,150.2,30
past,2026-09-19 12:00,,15.7,149.4,35
past,2026-09-19 18:00,,16.2,148.6,40
past,2026-09-20 00:00,,16.8,147.8,45
past,2026-09-20 06:00,,17.5,147.0,50
past,2026-09-20 12:00,,18.3,146.2,55
past,2026-09-20 18:00,,19.2,145.4,60
current,2026-09-21 00:00,啟德 (2629),20.2,144.6,65
24H,2026-09-22 00:00,,23.5,143.0,70
48H,2026-09-23 00:00,,27.5,143.5,70
72H,2026-09-24 00:00,,32.0,146.5,60
96H,2026-09-25 00:00,,36.5,151.5,45
120H,2026-09-26 00:00,,40.0,157.0,Ex
