category,time,name,lat,lon,wind
past,2026-09-18 00:00,,10.5,158.0,25
past,2026-09-18 06:00,,10.8,157.0,35
past,2026-09-18 12:00,,11.2,155.8,45
past,2026-09-18 18:00,,11.8,154.4,60
past,2026-09-19 00:00,,12.5,152.8,75
past,2026-09-19 06:00,,13.4,151.0,90
past,2026-09-19 12:00,,14.5,149.0,105
past,2026-09-19 18:00,,15.8,146.8,120
past,2026-09-20 00:00,,17.3,144.4,130
past,2026-09-20 06:00,,19.0,141.8,135
current,2026-09-20 12:00,帕卡 (2631),20.9,139.0,140
24H,2026-09-21 12:00,,25.0,136.5,135
48H,2026-09-22 12:00,,30.0,137.5,110
72H,2026-09-23 12:00,,35.5,142.0,80
96H,2026-09-24 12:00,,40.0,148.0,50
120H,2026-09-25 12:00,,43.5,155.0,Ex
